step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,orig_balance_error,dest_balance_error,orig_error_flag,dest_error_flag,is_transfer,is_cash_out,log_amount
306,390654.21,0.0,0.0,715638.51,1106292.72,0,-390654.21,0.0,1,0,0,1,12.875580634082405
561,2329379.8,2329379.8,0.0,0.0,0.0,0,0.0,2329379.8,0,1,1,0,14.661113039150848
163,65722.58,18871.0,0.0,0.0,65722.58,0,-46851.58,0.0,1,0,0,1,11.093213044191618
182,140451.7,0.0,0.0,694508.71,834960.41,0,-140451.7,-1.1641532182693481e-10,1,0,0,1,11.852626056270717
228,205422.94,0.0,0.0,348384.0,777306.28,0,-205422.94,-223499.34000000008,1,1,0,1,12.232831122752
378,117740.92,691.0,0.0,482256.96,599997.88,0,-117049.92,0.0,1,0,0,1,11.67625038956667
212,362746.74,0.0,0.0,4530621.88,4893368.62,0,-362746.74,0.0,1,0,1,0,12.801462940540947
44,429567.32,20542.0,0.0,0.0,429567.32,0,-409025.32,0.0,1,0,1,0,12.970536076440883
540,54770.77,0.0,0.0,13032330.12,13087100.89,0,-54770.77,-1.862645149230957e-09,1,0,0,1,10.910930194217425
36,194858.73,0.0,0.0,6744975.05,6939833.78,0,-194858.73,0.0,1,0,0,1,12.18003524536819
327,17059.09,0.0,0.0,306454.02,323513.11,0,-17059.09,5.820766091346741e-11,1,0,0,1,9.744497096529996
10,61906.44,0.0,0.0,2413769.59,2475676.02,0,-61906.44,0.009999999776482582,1,0,0,1,11.03339564531105
187,16087.8,33486.0,17398.2,0.0,16087.8,0,0.0,0.0,0,0,0,1,9.685878656720392
681,786829.43,1151.0,0.0,1189153.16,1975982.59,0,-785678.43,-2.3283064365386963e-10,1,0,1,0,13.575768040397353
8,213635.91,31344.0,0.0,840201.49,1270992.22,0,-182291.91,-217154.82000000007,1,1,0,1,12.272033170765509
351,147594.14,0.0,0.0,7496542.95,7644137.09,0,-147594.14,0.0,1,0,1,0,11.902228263777141
140,41158.45,35506.0,0.0,353014.53,394172.98,0,-5652.449999999997,5.820766091346741e-11,1,0,0,1,10.625208827370855
373,281297.95,0.0,0.0,1046264.02,1327561.98,0,-281297.95,-0.010000000009313226,1,0,0,1,12.547173261801234
351,127050.15,32112.0,0.0,589142.1,716192.25,0,-94938.15,0.0,1,0,0,1,11.75234504026185
155,49372.94,49372.94,0.0,517116.46,566489.4,0,0.0,0.0,0,0,0,1,10.807178033618545
251,11788.88,0.0,0.0,258767.77,270556.65,0,-11788.88,-5.820766091346741e-11,1,0,0,1,9.374996815362572
137,108286.41,37824.0,0.0,666662.37,774948.78,0,-70462.41,0.0,1,0,0,1,11.592544175077192
213,42303.21,0.0,0.0,770456.3,812759.51,0,-42303.21,0.0,1,0,0,1,10.65264188726863
285,55226.16,139694.0,84467.84,1173934.94,1229161.1,0,0.0,-2.3283064365386963e-10,0,0,0,1,10.919210140244124
373,106589.79,586755.73,480165.94,122171.49,228761.28,0,0.0,0.0,0,0,0,1,11.576752389232787
347,106737.67,0.0,0.0,643311.08,750048.75,0,-106737.67,0.0,1,0,0,1,11.578138789626683
41,48034.16,0.0,0.0,317586.68,365620.84,0,-48034.16,-5.820766091346741e-11,1,0,0,1,10.779688521742841
308,204010.83,0.0,0.0,2383678.87,2521180.67,0,-204010.83,66509.03000000026,1,1,0,1,12.225933261341066
15,598198.32,201363.0,0.0,2704213.64,3302411.96,0,-396835.31999999995,0.0,1,0,1,0,13.301679288433775
299,140086.76,0.0,0.0,141193.74,281280.5,0,-140086.76,0.0,1,0,0,1,11.85002436234143
406,159891.36,15082.0,0.0,775950.36,935841.72,0,-144809.36,0.0,1,0,0,1,11.982256117818137
404,161486.16,0.0,0.0,29128831.95,29290318.12,0,-161486.16,-0.010000001639127731,1,0,0,1,11.992180913840224
137,286193.48,0.0,0.0,2386898.92,2673092.4,0,-286193.48,0.0,1,0,0,1,12.564426858706748
36,606760.75,0.0,0.0,1260577.57,1867338.32,0,-606760.75,0.0,1,0,1,0,13.315891488873115
17,233982.15,205401.14,0.0,541797.27,775779.42,0,-28581.00999999998,0.0,1,0,0,1,12.36300438320009
482,132438.82,132438.82,0.0,0.0,0.0,0,0.0,132438.82,0,1,1,0,11.793883632554248
288,28636.24,28636.24,0.0,24561.4,53197.64,0,0.0,0.0,0,0,0,1,10.262463247715734
155,32443.31,0.0,0.0,294009.34,326452.65,0,-32443.31,0.0,1,0,0,1,10.387280360069997
468,1165187.89,1165187.89,0.0,0.0,1165187.89,0,0.0,0.0,0,0,0,1,13.968393769178157
321,204160.46,0.0,0.0,458835.36,662995.82,0,-204160.46,0.0,1,0,0,1,12.22666643036691
587,132235.71,393.0,0.0,294881.01,427116.72,0,-131842.71,0.0,1,0,0,1,11.792348853177554
137,26034.27,122662.0,96627.73,4845479.27,4871513.54,0,0.0,-9.313225746154785e-10,0,0,0,1,10.167207436198112
277,32478.51,63544.0,31065.49,0.0,32478.51,0,0.0,0.0,0,0,0,1,10.388364707954919
403,93965.58,6040.0,0.0,2039718.45,2133684.02,0,-87925.58,0.009999999776482582,1,0,0,1,11.450694466120792
260,39539.74,0.0,0.0,355920.49,395460.24,0,-39539.74,-0.010000000009313226,1,0,0,1,10.585086811774568
43,1854933.24,104611.0,0.0,67515.06,1922448.29,0,-1750322.24,0.010000000009313226,1,0,1,0,14.433359803260531
38,577418.98,0.0,0.0,0.0,577418.98,0,-577418.98,0.0,1,0,0,1,13.266325149006816
306,162798.98,0.0,0.0,7232665.06,7395464.04,0,-162798.98,0.0,1,0,0,1,12.000277609700447
185,416766.28,56412.0,0.0,46987.25,463753.53,0,-360354.28,0.0,1,0,1,0,12.940283263460703
19,37607.86,0.0,0.0,2013979.9,3662490.78,0,-37607.86,-1610903.0199999998,1,1,0,1,10.534994939917516
9,29665.8,0.0,0.0,1562398.02,1592063.82,0,-29665.8,0.0,1,0,0,1,10.297783854418089
154,75023.57,0.0,0.0,83054.54,158078.11,0,-75023.57,0.0,1,0,0,1,11.225570938869284
422,87381.78,87381.78,0.0,474312.15,561693.93,0,0.0,0.0,0,0,0,1,11.378053517059993
166,211424.97,0.0,0.0,1635810.18,1847235.15,0,-211424.97,0.0,1,0,0,1,12.261630192555234
180,205954.48,0.0,0.0,14771646.96,14977601.44,0,-205954.48,1.862645149230957e-09,1,0,0,1,12.235415307910326
38,372627.95,79217.0,0.0,173291.0,545918.95,0,-293410.95,0.0,1,0,0,1,12.82833843139383
205,3463.89,99375.0,95911.11,377669.35,381133.24,0,0.0,0.0,0,0,0,1,8.150436165088342
130,21531.0,21531.0,0.0,0.0,21531.0,0,0.0,0.0,0,0,0,1,9.977295479680848
19,37725.68,44337.94,6612.26,67872.64,105598.31,0,1.8189894035458565e-12,0.010000000009313226,0,0,0,1,10.538122815447675
38,43864.3,0.0,0.0,198796.67,242660.97,0,-43864.3,2.9103830456733704e-11,1,0,0,1,10.688878853704718
252,773448.28,21534.0,0.0,1418183.02,2191631.3,0,-751914.28,0.0,1,0,1,0,13.558615374770332
211,122629.17,12435.0,0.0,718.05,123347.22,0,-110194.17,0.0,1,0,0,1,11.716928357039054
259,116279.16,20870.0,0.0,196638.67,312917.83,0,-95409.16,0.0,1,0,0,1,11.663757730660858
373,284807.33,10499.0,0.0,389420.2,674227.53,0,-274308.33,0.0,1,0,1,0,12.559571706687732
687,398157.05,398157.05,0.0,0.0,0.0,0,0.0,398157.05,0,1,1,0,12.894604315991812
8,69694.48,0.0,0.0,102960.0,1780771.13,0,-69694.48,-1608116.65,1,1,0,1,11.151890745291428
9,201557.55,0.0,0.0,3917603.19,4363508.95,0,-201557.55,-244348.21000000043,1,1,0,1,12.213835188880982
301,263068.44,50463.0,0.0,601848.28,864916.72,0,-212605.44,0.0,1,0,0,1,12.480173306728256
229,143332.0,143332.0,0.0,0.0,0.0,0,0.0,143332.0,0,1,1,0,11.872925873417536
348,244942.73,13634.0,0.0,342572.01,587514.75,0,-231308.73,-0.010000000009313226,1,0,0,1,12.408783789678486
11,371122.4,39801.0,0.0,13153.0,977426.18,0,-331321.4,-593150.78,1,1,0,1,12.82428990084087
207,302378.28,0.0,0.0,21860288.78,22162667.05,0,-302378.28,0.010000001639127731,1,0,0,1,12.619437402421495
203,512435.26,22025.0,0.0,399414.38,911849.64,0,-490410.26,0.0,1,0,1,0,13.146931611528313
227,7569.59,0.0,0.0,942514.45,950084.04,0,-7569.59,-1.1641532182693481e-10,1,0,1,0,8.932026282628208
328,364375.51,364375.51,0.0,0.0,0.0,0,0.0,364375.51,0,1,1,0,12.80594298016064
19,417893.13,0.0,0.0,482097.09,680516.0,0,-417893.13,219474.21999999997,1,1,0,1,12.942983401914766
373,100690.44,65200.0,0.0,220298.05,320988.48,0,-35490.44,0.010000000009313226,1,0,0,1,11.519816070128284
184,284222.65,4906.0,0.0,6047676.07,6331898.72,0,-279316.65,9.313225746154785e-10,1,0,1,0,12.557516707227913
235,130503.07,6385.0,0.0,2813069.05,2943572.12,0,-124118.07,-4.656612873077393e-10,1,0,0,1,11.779159692998022
164,13468.32,201230.65,187762.33,260855.88,274324.2,0,0.0,0.0,0,0,0,1,9.5081697855763
155,297751.57,0.0,0.0,2086870.88,2384622.45,0,-297751.57,-4.656612873077393e-10,1,0,0,1,12.604018118582479
598,453699.35,453699.35,0.0,1321758.82,1775458.17,0,0.0,0.0,0,0,0,1,13.025192237086626
538,1392337.38,1392337.38,0.0,125815.9,1518153.28,0,0.0,-2.3283064365386963e-10,0,0,0,1,14.146495179415599
168,156363.88,13697.87,0.0,3573693.66,3730057.54,0,-142666.01,0.0,1,0,0,1,11.959947529448009
327,634385.97,634385.97,0.0,0.0,0.0,0,0.0,634385.97,0,1,1,0,13.36041440999979
285,78962.73,17696.0,0.0,98848.38,177811.11,0,-61266.729999999996,0.0,1,0,0,1,11.276743912100041
254,27941.05,20063.0,0.0,184988.76,212929.8,0,-7878.049999999999,0.010000000009313226,1,0,0,1,10.237888001629775
15,54584.4,0.0,0.0,117651.0,172235.4,0,-54584.4,0.0,1,0,0,1,10.907521726708039
180,106949.99,42279.0,0.0,0.0,106949.99,0,-64670.990000000005,0.0,1,0,0,1,11.5801259711297
184,56679.37,10710.0,0.0,273773.66,330453.03,0,-45969.37,-5.820766091346741e-11,1,0,0,1,10.945183221659104
160,109770.51,0.0,0.0,335801.79,445572.3,0,-109770.51,0.0,1,0,0,1,11.606156302622095
211,4905.13,0.0,0.0,3644441.36,3649346.5,0,-4905.13,-0.01000000024214387,1,0,0,1,8.498240722632875
40,271312.81,22100.0,0.0,660307.22,931620.03,0,-249212.81,0.0,1,0,0,1,12.51103140041085
283,37188.98,783635.0,746446.02,0.0,37188.98,0,0.0,0.0,0,0,0,1,10.52379464914
123,4289.18,4289.18,0.0,0.0,4289.18,0,0.0,0.0,0,0,0,1,8.364083969083806
187,354062.24,0.0,0.0,5688267.94,6042330.19,0,-354062.24,-0.009999999776482582,1,0,0,1,12.777230820228757
332,219340.97,0.0,0.0,1071441.01,1290781.98,0,-219340.97,0.0,1,0,1,0,12.29838729776379
625,3020974.53,3020974.53,0.0,943032.19,3964006.72,0,0.0,-4.656612873077393e-10,0,0,0,1,14.921090360369107
139,222123.67,161998.0,0.0,1180757.13,1402880.8,0,-60125.67000000001,-2.3283064365386963e-10,1,0,0,1,12.310994079805877
257,50796.91,0.0,0.0,4206699.52,4257496.43,0,-50796.91,0.0,1,0,1,0,10.835610490987946
204,197055.63,40322.0,0.0,28508.4,225564.03,0,-156733.63,0.0,1,0,0,1,12.191246428339795
260,85829.29,0.0,0.0,1408845.0,1494674.29,0,-85829.29,0.0,1,0,0,1,11.360127253478549
157,285868.77,7944.0,0.0,0.0,285868.77,0,-277924.77,0.0,1,0,0,1,12.563291636448506
300,39135.05,16531.0,0.0,0.0,39135.05,0,-22604.050000000003,0.0,1,0,0,1,10.574799316082158
403,32036.3,0.0,0.0,127480.58,159516.87,0,-32036.3,0.010000000009313226,1,0,0,1,10.374656127968487
570,2925859.58,2925859.58,0.0,148038.26,3073897.84,0,0.0,0.0,0,0,0,1,14.88909921075985
377,369896.76,0.0,0.0,1480029.24,1849926.0,0,-369896.76,0.0,1,0,0,1,12.820981922111482
228,191600.25,0.0,0.0,3985879.14,4177479.38,0,-191600.25,0.01000000024214387,1,0,0,1,12.163171668505967
21,124944.3,69289.0,0.0,0.0,124944.3,0,-55655.3,0.0,1,0,0,1,11.735631320509617
335,501550.78,0.0,0.0,3593233.81,4094784.59,0,-501550.78,0.0,1,0,1,0,13.12546213130344
37,27523.77,950.0,0.0,0.0,27523.77,0,-26573.77,0.0,1,0,0,1,10.222841605516004
42,414291.16,0.0,0.0,725673.96,1139965.12,0,-414291.16,-2.3283064365386963e-10,1,0,1,0,12.934326704401045
523,4623764.68,4623764.68,0.0,0.0,0.0,0,0.0,4623764.68,0,1,1,0,15.346720013309858
717,2624422.62,2624422.62,0.0,0.0,0.0,0,0.0,2624422.62,0,1,1,0,14.780371856564773
164,215283.06,0.0,0.0,2891021.07,3106304.12,0,-215283.06,0.009999999776482582,1,0,0,1,12.279713644383119
138,221795.46,0.0,0.0,504385.43,726180.89,0,-221795.46,0.0,1,0,0,1,12.30951539344642
178,111967.89,0.0,0.0,876744.78,988712.68,0,-111967.89,-0.010000000009313226,1,0,0,1,11.625976343835452
37,174609.24,49674.0,0.0,164272.49,338881.73,0,-124935.23999999999,0.0,1,0,0,1,12.070311569006954
285,278569.49,5037.0,0.0,127967.59,406537.08,0,-273532.49,-5.820766091346741e-11,1,0,0,1,12.537426412248172
324,193764.91,0.0,0.0,654935.7,848700.61,0,-193764.91,0.0,1,0,0,1,12.17440605997328
305,40827.33,77023.0,36195.67,0.0,40827.33,0,0.0,0.0,0,0,0,1,10.617131482179076
228,298599.95,0.0,0.0,459882.41,758482.37,0,-298599.95,-0.010000000009313226,1,0,0,1,12.606863345595897
40,66437.71,10348.0,0.0,2174242.37,2240680.08,0,-56089.71000000001,0.0,1,0,0,1,11.10403514752429
122,2221683.68,2221683.68,0.0,0.0,0.0,0,0.0,2221683.68,0,1,1,0,14.613776330920974
562,8208916.0,8208916.0,0.0,0.0,0.0,0,0.0,8208916.0,0,1,1,0,15.920731560425347
592,458361.83,458361.83,0.0,0.0,458361.83,0,0.0,0.0,0,0,0,1,13.035416354707554
20,201561.52,0.0,0.0,759140.43,960701.95,0,-201561.52,1.1641532182693481e-10,1,0,0,1,12.21385488519703
236,284077.52,0.0,0.0,1140271.54,1424349.07,0,-284077.52,-0.010000000009313226,1,0,1,0,12.557005957803343
252,104586.54,69371.0,0.0,0.0,104586.54,0,-35215.53999999999,0.0,1,0,0,1,11.557779703058664
205,265848.39,7515.0,0.0,4565241.86,4831090.25,0,-258333.39,0.0,1,0,0,1,12.490685224402863
636,222517.07,222517.07,0.0,130580.85,353097.93,0,0.0,-0.009999999951105565,0,0,0,1,12.312763590773942
33,100560.0,0.0,0.0,493360.47,593920.47,0,-100560.0,0.0,1,0,0,1,11.518519787526538
180,112996.03,0.0,0.0,113406.28,226402.3,0,-112996.03,0.010000000009313226,1,0,0,1,11.635116814163228
428,353616.67,0.0,0.0,798610.75,1152227.42,0,-353616.67,0.0,1,0,1,0,12.775971580216538
162,2852.0,6657.0,3805.0,0.0,2852.0,0,0.0,0.0,0,0,0,1,7.9561263512135
401,113836.5,0.0,0.0,383865.02,497701.51,0,-113836.5,0.010000000009313226,1,0,0,1,11.642527271876075
138,96796.53,10106.0,0.0,8356.51,105153.04,0,-86690.53,0.0,1,0,0,1,11.480376756410191
206,717496.98,0.0,0.0,1358718.72,2076215.7,0,-717496.98,0.0,1,0,1,0,13.48352541128094
736,172915.56,172915.56,0.0,7674508.7,7847424.27,0,0.0,-0.009999999776482582,0,0,0,1,12.060564444991275
185,200457.22,0.0,0.0,334960.19,744439.69,0,-200457.22,-209022.2799999999,1,1,0,1,12.20836112496246
410,1232013.7,1232013.7,0.0,0.0,0.0,0,0.0,1232013.7,0,1,1,0,14.024161354822601
18,187477.21,53682.0,0.0,79976.0,195767.27,0,-133795.21,71685.93999999997,1,1,0,1,12.141417904305976
585,1298920.78,1298920.78,0.0,0.0,0.0,0,0.0,1298920.78,0,1,1,0,14.077045078289284
395,169533.34,0.0,0.0,9440704.34,9742641.99,0,-169533.34,-132404.31000000052,1,1,0,1,12.040810781153077
285,75140.97,0.0,0.0,116126.65,191267.62,0,-75140.97,0.0,1,0,0,1,11.22713453651119
13,231841.61,14600.0,0.0,0.0,231841.61,0,-217241.61,0.0,1,0,0,1,12.353814015255116
34,172168.65,50092.0,0.0,0.0,172168.65,0,-122076.65,0.0,1,0,0,1,12.056235606893967
253,331065.96,0.0,0.0,3295313.66,3626379.62,0,-331065.96,0.0,1,0,0,1,12.710075929972616
204,506723.06,1157.0,0.0,0.0,506723.06,0,-505566.06,0.0,1,0,0,1,13.13572187405486
353,38582.46,0.0,0.0,453297.91,491880.36,0,-38582.46,0.010000000009313226,1,0,0,1,10.560578966212347
72,3243092.91,3243092.91,0.0,0.0,0.0,0,0.0,3243092.91,0,1,1,0,14.992038342625353
590,169881.52,0.0,0.0,626952.46,796833.98,0,-169881.52,0.0,1,0,0,1,12.042862418317656
228,2184443.82,10360.0,0.0,111298.27,2295742.09,0,-2174083.82,0.0,1,0,1,0,14.596872267269745
252,13635.58,0.0,0.0,973473.95,778545.11,0,-13635.58,208564.41999999993,1,1,0,1,9.520511166820814
565,203204.59,0.0,0.0,400762.57,603967.16,0,-203204.59,0.0,1,0,0,1,12.221973504150595
230,121208.64,0.0,0.0,253045.14,374253.78,0,-121208.64,0.0,1,0,1,0,11.705276887408171
88,3607917.73,3607917.73,0.0,0.0,0.0,0,0.0,3607917.73,0,1,1,0,15.098641634966393
394,397827.11,41789.0,0.0,111443.11,509270.22,0,-356038.11,0.0,1,0,0,1,12.893775306555526
308,219464.09,0.0,0.0,1558582.52,1778046.6,0,-219464.09,0.010000000009313226,1,0,0,1,12.298948455568457
173,8594499.99,8594499.99,0.0,0.0,0.0,0,0.0,8594499.99,0,1,1,0,15.966633136940288
307,118296.99,226.0,0.0,2784075.62,2902372.61,0,-118070.99,4.656612873077393e-10,1,0,0,1,11.680962059120528
374,35847.17,104594.0,68746.83,645101.06,680948.23,0,0.0,1.1641532182693481e-10,0,0,0,1,10.48704779869977
235,45361.73,0.0,0.0,190356.09,235717.82,0,-45361.73,0.0,1,0,0,1,10.722446121775763
36,171431.66,15246.0,0.0,118657.51,290089.16,0,-156185.66,0.010000000009313226,1,0,0,1,12.05194581541851
250,2374490.77,2374490.77,0.0,1429190.9,3803681.67,0,0.0,0.0,0,0,0,1,14.680293980972467
211,201673.87,0.0,0.0,526219.61,727893.48,0,-201673.87,0.0,1,0,0,1,12.214412125203504
208,3054281.35,0.0,0.0,3347782.34,6435858.66,0,-3054281.35,-33794.97000000067,1,1,1,0,14.932055213008528
330,77443.38,0.0,0.0,6328928.97,6406372.35,0,-77443.38,0.0,1,0,0,1,11.257315280268362
36,56528.41,0.0,0.0,13589087.72,14384312.9,0,-56528.41,-738696.7699999996,1,1,0,1,10.94251631267873
348,142715.07,142715.07,0.0,0.0,0.0,0,0.0,142715.07,0,1,1,0,11.868612410999724
153,179856.25,10964.0,0.0,499708.28,679564.53,0,-168892.25,0.0,1,0,0,1,12.099918759681875
345,262599.85,0.0,0.0,341397.34,603997.19,0,-262599.85,0.0,1,0,1,0,12.478390477707743
637,138112.48,1017.0,0.0,193380.37,331492.85,0,-137095.48,0.0,1,0,0,1,11.835830945061023
476,468599.79,468599.79,0.0,0.0,0.0,0,0.0,468599.79,0,1,1,0,13.057506490927224
227,168845.69,0.0,0.0,1791415.37,1960261.06,0,-168845.69,0.0,1,0,0,1,12.036746422423464
332,42986.45,0.0,0.0,132494.5,175480.95,0,-42986.45,0.0,1,0,0,1,10.668663491611028
43,81832.46,99603.0,17770.54,0.0,81832.46,0,-7.275957614183426e-12,0.0,0,0,1,0,11.312441485408911
407,121069.0,0.0,0.0,1873276.62,1994345.62,0,-121069.0,0.0,1,0,0,1,11.704124169701785
173,176273.29,176273.29,0.0,0.0,176273.29,0,0.0,0.0,0,0,0,1,12.079796526781655
235,62964.78,39933.0,0.0,1221427.06,1484184.27,0,-23031.78,-199792.42999999993,1,1,0,1,11.050346683197729
274,188257.47,27233.0,0.0,253316.43,441573.89,0,-161024.47,0.010000000009313226,1,0,0,1,12.145571138009863
204,2325.66,0.0,0.0,567475.82,569801.48,0,-2325.66,0.0,1,0,0,1,7.752189041754691
236,30024.55,0.0,0.0,1782621.44,1812646.0,0,-30024.55,-0.010000000009313226,1,0,0,1,10.309803964848687
397,111107.54,0.0,0.0,3440342.34,3551449.88,0,-111107.54,0.0,1,0,0,1,11.618262840360321
465,1760061.57,1760061.57,0.0,142305.44,1902367.02,0,0.0,-0.010000000009313226,0,0,0,1,14.380859917518771
651,65494.78,65494.78,0.0,0.0,0.0,0,0.0,65494.78,0,1,1,0,11.089740992066888
42,250827.82,0.0,0.0,889718.45,1140546.27,0,-250827.82,0.0,1,0,0,1,12.432525993419693
354,23862.03,130499.0,106636.97,15339.43,39201.46,0,0.0,0.0,0,0,0,1,10.080085678368809
45,168577.78,0.0,0.0,1404852.14,1573429.92,0,-168577.78,0.0,1,0,0,1,12.03515845660513
325,608230.12,200771.0,0.0,0.0,608230.12,0,-407459.12,0.0,1,0,0,1,13.318310220295547
394,365372.75,0.0,0.0,389742.72,755115.47,0,-365372.75,0.0,1,0,0,1,12.808676081265034
12,134844.74,0.0,0.0,363181.13,1009167.17,0,-134844.74,-511141.30000000005,1,1,0,1,11.811886737412596
165,123634.82,36921.0,0.0,0.0,123634.82,0,-86713.82,0.0,1,0,0,1,11.725095587845374
161,167900.87,0.0,0.0,419004.39,586905.26,0,-167900.87,0.0,1,0,0,1,12.031134980585504
382,695004.56,0.0,0.0,1074235.97,1769240.53,0,-695004.56,0.0,1,0,1,0,13.45167512451493
162,368337.85,107274.0,0.0,1766219.43,2134557.28,0,-261063.84999999998,0.0,1,0,0,1,12.816758581529287
283,17856.91,22266.0,4409.09,484429.16,502286.07,0,0.0,-5.820766091346741e-11,0,0,0,1,9.79020182630637
18,82973.26,52586.0,0.0,245326.95,328300.21,0,-30387.259999999995,0.0,1,0,0,1,11.326285718199506
37,1101614.58,0.0,0.0,3842824.61,4781082.45,0,-1101614.58,163356.7399999993,1,1,1,0,13.912288369361203
370,8922.67,0.0,0.0,136373.81,145296.47,0,-8922.67,0.010000000009313226,1,0,0,1,9.096462575935472
205,55117.68,266736.87,211619.19,2489749.15,2544866.84,0,0.0,-0.009999999776482582,0,0,0,1,10.917243957650426
355,134507.59,49913.0,0.0,0.0,134507.59,0,-84594.59,0.0,1,0,0,1,11.809383342155677
36,256551.19,501368.0,244816.81,9062.35,265613.55,0,0.0,-0.010000000009313226,0,0,0,1,12.455087392681367
161,1401311.18,0.0,0.0,5355461.79,6756772.96,0,-1401311.18,0.009999999776482582,1,0,1,0,14.152919627049458
236,219833.34,183.0,0.0,411617.79,631451.13,0,-219650.34,0.0,1,0,0,1,12.300629541687599
19,416687.21,37.0,0.0,0.0,416687.21,0,-416650.21,0.0,1,0,0,1,12.940093523273768
235,18358.34,20353.0,1994.66,3266777.9,3285136.24,0,-2.2737367544323206e-13,-4.656612873077393e-10,0,0,0,1,9.817893715815929
228,375849.14,0.0,0.0,2586161.01,2962010.15,0,-375849.14,0.0,1,0,0,1,12.83694577909457
375,777423.9,63009.0,0.0,7811001.94,8588425.83,0,-714414.9,0.009999999776482582,1,0,1,0,13.563742326730383
306,4262592.28,4262592.28,0.0,0.0,0.0,0,0.0,4262592.28,0,1,1,0,15.265388284205429
20,124492.45,5026.0,0.0,0.0,124492.45,0,-119466.45,0.0,1,0,0,1,11.732008383061155
44,416833.71,0.0,0.0,850381.37,1267215.08,0,-416833.71,0.0,1,0,0,1,12.940445043305175
284,3771966.26,0.0,0.0,4413233.13,8185199.39,0,-3771966.26,0.0,1,0,1,0,15.143107242952322
186,1847386.42,115595.73,0.0,2379435.93,4047149.99,0,-1731790.69,179672.3599999994,1,1,1,0,14.429282993547254
